dependency1,dependency2,count,count1,count2,proportion1,proportion2,maxProportion
io.dropwizard.metrics:metrics-core,org.springframework:spring-beans,26,156,256,0.17,0.1,0.17
com.github.ben-manes.caffeine:caffeine,org.apache.curator:curator-framework,15,111,121,0.14,0.12,0.14
com.github.ben-manes.caffeine:caffeine,org.codehaus.plexus:plexus-utils,11,111,144,0.1,0.08,0.1
com.github.ben-manes.caffeine:caffeine,com.jayway.jsonpath:json-path,17,111,129,0.15,0.13,0.15
org.apache.maven:maven-plugin-api,org.openjdk.jmh:jmh-core,30,264,215,0.11,0.14,0.14
io.springfox:springfox-swagger2,org.springframework.boot:spring-boot-starter-web,29,143,140,0.2,0.21,0.21
io.springfox:springfox-swagger2,org.springframework:spring-jdbc,20,143,219,0.14,0.09,0.14
io.springfox:springfox-swagger2,org.springframework:spring-orm,7,143,126,0.05,0.06,0.06
org.hamcrest:hamcrest,org.hamcrest:hamcrest-all,8,151,237,0.05,0.03,0.05
commons-logging:commons-logging,org.slf4j:slf4j-jdk14,27,369,107,0.07,0.25,0.25
com.google.protobuf:protobuf-java,org.hamcrest:hamcrest-all,32,268,237,0.12,0.14,0.14
com.google.protobuf:protobuf-java,joda-time:joda-time,75,268,380,0.28,0.2,0.28
com.google.protobuf:protobuf-java,io.dropwizard.metrics:metrics-core,43,268,156,0.16,0.28,0.28
org.quartz-scheduler:quartz,org.springframework:spring-orm,37,143,126,0.26,0.29,0.29
org.eclipse.jetty:jetty-server,org.springframework:spring-test,60,267,339,0.22,0.18,0.22
org.aspectj:aspectjrt,org.bouncycastle:bcprov-jdk15on,11,111,196,0.1,0.06,0.1
commons-fileupload:commons-fileupload,org.apache.commons:commons-collections4,53,240,233,0.22,0.23,0.23
io.springfox:springfox-swagger-ui,org.springframework:spring-expression,11,130,115,0.08,0.1,0.1
org.apache.commons:commons-collections4,org.quartz-scheduler:quartz,38,233,143,0.16,0.27,0.27
log4j:log4j,org.awaitility:awaitility,27,487,161,0.06,0.17,0.17
org.apache.commons:commons-compress,org.hsqldb:hsqldb,32,239,197,0.13,0.16,0.16
commons-validator:commons-validator,junit:junit,81,107,2280,0.76,0.04,0.76
cglib:cglib,org.apache.maven:maven-core,8,134,193,0.06,0.04,0.06
com.fasterxml.jackson.dataformat:jackson-dataformat-yaml,org.openjdk.jmh:jmh-core,15,143,215,0.1,0.07,0.1
org.mongodb:mongo-java-driver,org.mybatis.spring.boot:mybatis-spring-boot-starter,8,119,145,0.07,0.06,0.07
commons-cli:commons-cli,org.slf4j:slf4j-simple,67,376,382,0.18,0.18,0.18
commons-cli:commons-cli,org.apache.avro:avro,50,376,123,0.13,0.41,0.41
com.alibaba:fastjson,org.javassist:javassist,41,335,227,0.12,0.18,0.18
com.alibaba:fastjson,org.junit.jupiter:junit-jupiter-params,9,335,169,0.03,0.05,0.05
javax.annotation:javax.annotation-api,org.apache.kafka:kafka-clients,35,243,162,0.14,0.22,0.22
org.apache.lucene:lucene-core,org.mongodb:mongo-java-driver,20,137,119,0.15,0.17,0.17
org.apache.lucene:lucene-core,org.testng:testng,19,137,288,0.14,0.07,0.14
com.thoughtworks.xstream:xstream,org.quartz-scheduler:quartz,21,128,143,0.16,0.15,0.16
io.netty:netty-handler,org.powermock:powermock-api-mockito2,13,119,104,0.11,0.13,0.13
org.apache.commons:commons-lang3,org.springframework:spring-expression,62,987,115,0.06,0.54,0.54
org.awaitility:awaitility,org.junit.vintage:junit-vintage-engine,23,161,119,0.14,0.19,0.19
org.awaitility:awaitility,org.mockito:mockito-junit-jupiter,27,161,116,0.17,0.23,0.23
org.apache.curator:curator-framework,org.springframework:spring-context,43,121,435,0.36,0.1,0.36
com.google.code.findbugs:jsr305,mysql:mysql-connector-java,57,323,537,0.18,0.11,0.18
ch.qos.logback:logback-classic,org.apache.logging.log4j:log4j-core,77,703,387,0.11,0.2,0.2
org.codehaus.jackson:jackson-core-asl,org.eclipse.jetty:jetty-util,23,100,113,0.23,0.2,0.23
javax.ws.rs:javax.ws.rs-api,org.springframework:spring-webmvc,29,137,264,0.21,0.11,0.21
javax.ws.rs:javax.ws.rs-api,org.apache.maven:maven-artifact,15,137,125,0.11,0.12,0.12
org.mockito:mockito-core,org.springframework:spring-expression,53,916,115,0.06,0.46,0.46
org.springframework:spring-beans,org.springframework:spring-context,233,256,435,0.91,0.54,0.91
javax.servlet:jstl,org.apache.commons:commons-collections4,17,124,233,0.14,0.07,0.14
org.apache.httpcomponents:httpmime,org.hibernate:hibernate-entitymanager,12,143,108,0.08,0.11,0.11
commons-httpclient:commons-httpclient,org.mockito:mockito-core,52,140,916,0.37,0.06,0.37
com.beust:jcommander,com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,11,100,124,0.11,0.09,0.11
com.beust:jcommander,org.mybatis.spring.boot:mybatis-spring-boot-starter,2,100,145,0.02,0.01,0.02
com.jcraft:jsch,javax.mail:mail,26,103,157,0.25,0.17,0.25
com.fasterxml.jackson.core:jackson-databind,org.apache.commons:commons-pool2,62,841,118,0.07,0.53,0.53
org.apache.commons:commons-text,org.apache.kafka:kafka-clients,24,183,162,0.13,0.15,0.15
