dependency1,dependency2,count,count1,count2,proportion1,proportion2,maxProportion
commons-collections:commons-collections,org.apache.poi:poi,43,284,139,0.15,0.31,0.31
javax.mail:mail,org.apache.hadoop:hadoop-common,15,157,140,0.1,0.11,0.11
org.slf4j:slf4j-jdk14,org.slf4j:slf4j-simple,24,107,382,0.22,0.06,0.22
commons-dbcp:commons-dbcp,org.apache.commons:commons-compress,26,124,239,0.21,0.11,0.21
io.netty:netty-handler,org.eclipse.jetty:jetty-server,28,119,267,0.24,0.1,0.24
io.netty:netty-handler,org.apache.thrift:libthrift,13,119,104,0.11,0.13,0.13
org.hibernate:hibernate-core,org.yaml:snakeyaml,34,189,268,0.18,0.13,0.18
com.google.code.findbugs:jsr305,org.elasticsearch:elasticsearch,19,323,122,0.06,0.16,0.16
ch.qos.logback:logback-classic,org.slf4j:log4j-over-slf4j,92,703,122,0.13,0.75,0.75
commons-configuration:commons-configuration,javax.mail:mail,25,149,157,0.17,0.16,0.17
org.codehaus.jackson:jackson-core-asl,org.slf4j:log4j-over-slf4j,8,100,122,0.08,0.07,0.08
org.apache.httpcomponents:httpmime,redis.clients:jedis,21,143,183,0.15,0.11,0.15
com.beust:jcommander,org.apache.httpcomponents:httpcore,21,100,267,0.21,0.08,0.21
com.jcraft:jsch,io.springfox:springfox-swagger-ui,11,103,130,0.11,0.08,0.11
org.openjdk.jmh:jmh-core,org.yaml:snakeyaml,27,215,268,0.13,0.1,0.13
javax.validation:validation-api,org.eclipse.jetty:jetty-server,34,197,267,0.17,0.13,0.17
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,org.postgresql:postgresql,29,110,245,0.26,0.12,0.26
org.antlr:antlr4-runtime,org.eclipse.jetty:jetty-util,12,109,113,0.11,0.11,0.11
org.antlr:antlr4-runtime,org.bouncycastle:bcprov-jdk15on,16,109,196,0.15,0.08,0.15
org.antlr:antlr4-runtime,org.glassfish.jaxb:jaxb-runtime,11,109,145,0.1,0.08,0.1
org.hamcrest:hamcrest-core,org.json:json,25,216,228,0.12,0.11,0.12
org.hamcrest:hamcrest-core,org.hamcrest:hamcrest-library,100,216,225,0.46,0.44,0.46
com.fasterxml.jackson.core:jackson-core,org.eclipse.jetty:jetty-server,112,532,267,0.21,0.42,0.42
com.fasterxml.jackson.core:jackson-core,org.springframework:spring-context-support,62,532,155,0.12,0.4,0.4
com.sun.xml.bind:jaxb-impl,com.zaxxer:HikariCP,21,160,147,0.13,0.14,0.14
com.sun.xml.bind:jaxb-impl,org.apache.curator:curator-recipes,10,160,131,0.06,0.08,0.08
org.apache.logging.log4j:log4j-slf4j-impl,org.junit.jupiter:junit-jupiter,12,242,153,0.05,0.08,0.08
com.googlecode.json-simple:json-simple,org.ow2.asm:asm,19,154,180,0.12,0.11,0.12
org.apache.kafka:kafka-clients,org.jsoup:jsoup,17,162,232,0.1,0.07,0.1
jakarta.xml.bind:jakarta.xml.bind-api,org.jsoup:jsoup,25,114,232,0.22,0.11,0.22
jakarta.xml.bind:jakarta.xml.bind-api,org.hibernate:hibernate-entitymanager,9,114,108,0.08,0.08,0.08
org.apache.maven:maven-artifact,org.testng:testng,26,125,288,0.21,0.09,0.21
mysql:mysql-connector-java,org.junit.vintage:junit-vintage-engine,12,537,119,0.02,0.1,0.1
org.apache.curator:curator-recipes,org.mybatis:mybatis,22,131,125,0.17,0.18,0.18
org.apache.curator:curator-recipes,org.springframework:spring-test,37,131,339,0.28,0.11,0.28
org.apache.hadoop:hadoop-common,org.apache.velocity:velocity,15,140,124,0.11,0.12,0.12
org.yaml:snakeyaml,xerces:xercesImpl,20,268,111,0.07,0.18,0.18
org.apache.maven:maven-plugin-api,org.hibernate:hibernate-core,25,264,189,0.09,0.13,0.13
org.apache.maven:maven-plugin-api,org.codehaus.plexus:plexus-utils,102,264,144,0.39,0.71,0.71
io.springfox:springfox-swagger2,org.springframework:spring-tx,17,143,172,0.12,0.1,0.12
org.apache.maven:maven-core,org.ow2.asm:asm,37,193,180,0.19,0.21,0.21
org.apache.maven:maven-core,org.springframework:spring-beans,23,193,256,0.12,0.09,0.12
commons-logging:commons-logging,org.apache.maven:maven-artifact,27,369,125,0.07,0.22,0.22
com.google.guava:guava,org.javassist:javassist,128,1193,227,0.11,0.56,0.56
com.google.guava:guava,javax.xml.bind:jaxb-api,156,1193,304,0.13,0.51,0.51
org.mockito:mockito-junit-jupiter,org.testng:testng,13,116,288,0.11,0.05,0.11
org.glassfish.jaxb:jaxb-runtime,org.slf4j:slf4j-simple,34,145,382,0.23,0.09,0.23
org.eclipse.jetty:jetty-server,org.slf4j:slf4j-log4j12,93,267,521,0.35,0.18,0.35
commons-fileupload:commons-fileupload,commons-validator:commons-validator,39,240,107,0.16,0.36,0.36
commons-fileupload:commons-fileupload,org.springframework.boot:spring-boot-starter-web,18,240,140,0.08,0.13,0.13
org.apache.httpcomponents:httpclient,org.aspectj:aspectjweaver,74,680,170,0.11,0.44,0.44
org.apache.poi:poi-ooxml,org.openjdk.jmh:jmh-core,4,145,215,0.03,0.02,0.03
org.apache.commons:commons-collections4,org.codehaus.groovy:groovy-all,24,233,117,0.1,0.21,0.21
io.netty:netty-all,org.reflections:reflections,24,226,173,0.11,0.14,0.14
com.zaxxer:HikariCP,org.easymock:easymock,8,147,179,0.05,0.04,0.05
com.zaxxer:HikariCP,org.apache.maven:maven-plugin-api,13,147,264,0.09,0.05,0.09
com.zaxxer:HikariCP,javax.xml.bind:jaxb-api,30,147,304,0.2,0.1,0.2
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,commons-net:commons-net,23,124,128,0.19,0.18,0.19
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,org.bouncycastle:bcprov-jdk15on,29,124,196,0.23,0.15,0.23
commons-net:commons-net,org.antlr:antlr4-runtime,11,128,109,0.09,0.1,0.1
commons-collections:commons-collections,org.apache.commons:commons-lang3,174,284,987,0.61,0.18,0.61
javax.annotation:javax.annotation-api,org.ow2.asm:asm,27,243,180,0.11,0.15,0.15
javax.annotation:javax.annotation-api,org.testcontainers:testcontainers,31,243,116,0.13,0.27,0.27
javax.mail:mail,org.aspectj:aspectjweaver,33,157,170,0.21,0.19,0.21
javax.mail:mail,org.mybatis.spring.boot:mybatis-spring-boot-starter,7,157,145,0.04,0.05,0.05
org.apache.commons:commons-math3,org.slf4j:slf4j-api,110,180,1414,0.61,0.08,0.61
org.apache.commons:commons-math3,org.openjdk.jmh:jmh-generator-annprocess,28,180,201,0.16,0.14,0.16
org.apache.commons:commons-lang3,org.scala-lang:scala-library,91,987,173,0.09,0.53,0.53
org.apache.commons:commons-lang3,org.easymock:easymock,74,987,179,0.07,0.41,0.41
org.apache.commons:commons-lang3,org.quartz-scheduler:quartz,90,987,143,0.09,0.63,0.63
org.awaitility:awaitility,org.hibernate.validator:hibernate-validator,16,161,102,0.1,0.16,0.16
org.apache.curator:curator-framework,org.mockito:mockito-core,47,121,916,0.39,0.05,0.39
com.google.code.findbugs:jsr305,org.scala-lang:scala-library,41,323,173,0.13,0.24,0.24
org.junit.vintage:junit-vintage-engine,xerces:xercesImpl,9,119,111,0.08,0.08,0.08
org.jsoup:jsoup,org.powermock:powermock-api-mockito2,12,232,104,0.05,0.12,0.12
org.apache.velocity:velocity,org.aspectj:aspectjweaver,18,124,170,0.15,0.11,0.15
javax.ws.rs:javax.ws.rs-api,org.codehaus.jackson:jackson-mapper-asl,17,137,154,0.12,0.11,0.12
org.hamcrest:hamcrest-all,org.hibernate:hibernate-core,24,237,189,0.1,0.13,0.13
org.hamcrest:hamcrest-all,org.springframework:spring-beans,32,237,256,0.14,0.13,0.14
org.apache.derby:derby,org.apache.logging.log4j:log4j-api,21,102,319,0.21,0.07,0.21
org.apache.derby:derby,org.slf4j:slf4j-log4j12,36,102,521,0.35,0.07,0.35
javax.servlet:jstl,javax.validation:validation-api,32,124,197,0.26,0.16,0.26
commons-httpclient:commons-httpclient,javax.inject:javax.inject,13,140,186,0.09,0.07,0.09
commons-httpclient:commons-httpclient,org.springframework:spring-orm,17,140,126,0.12,0.13,0.13
com.beust:jcommander,net.java.dev.jna:jna,9,100,160,0.09,0.06,0.09
com.fasterxml.jackson.core:jackson-databind,org.hibernate:hibernate-core,86,841,189,0.1,0.46,0.46
ch.qos.logback:logback-core,org.aspectj:aspectjweaver,21,225,170,0.09,0.12,0.12
com.fasterxml.jackson.core:jackson-annotations,org.hibernate:hibernate-validator,52,447,148,0.12,0.35,0.35
org.postgresql:postgresql,org.springframework.boot:spring-boot-starter-web,23,245,140,0.09,0.16,0.16
javax.servlet.jsp:jsp-api,org.apache.commons:commons-text,13,105,183,0.12,0.07,0.12
javax.servlet:javax.servlet-api,net.java.dev.jna:jna,38,491,160,0.08,0.24,0.24
org.apache.maven.plugin-tools:maven-plugin-annotations,org.hamcrest:hamcrest-library,32,229,225,0.14,0.14,0.14
org.apache.maven.plugin-tools:maven-plugin-annotations,org.mybatis:mybatis,5,229,125,0.02,0.04,0.04
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,org.apache.commons:commons-math3,19,110,180,0.17,0.11,0.17
org.apache.ant:ant,org.apache.logging.log4j:log4j-api,26,152,319,0.17,0.08,0.17
commons-beanutils:commons-beanutils,log4j:log4j,87,282,487,0.31,0.18,0.31
org.apache.logging.log4j:log4j-slf4j-impl,org.hibernate.validator:hibernate-validator,14,242,102,0.06,0.14,0.14
org.bouncycastle:bcpkix-jdk15on,org.elasticsearch:elasticsearch,10,154,122,0.06,0.08,0.08
org.mockito:mockito-all,org.springframework:spring-test,61,368,339,0.17,0.18,0.18
com.googlecode.json-simple:json-simple,org.junit.jupiter:junit-jupiter,6,154,153,0.04,0.04,0.04
com.jayway.jsonpath:json-path,org.apache.commons:commons-math3,18,129,180,0.14,0.1,0.14
commons-codec:commons-codec,commons-fileupload:commons-fileupload,116,596,240,0.19,0.48,0.48
commons-codec:commons-codec,commons-httpclient:commons-httpclient,70,596,140,0.12,0.5,0.5
junit:junit,org.projectlombok:lombok,237,2280,434,0.1,0.55,0.55
org.apache.logging.log4j:log4j-core,org.apache.zookeeper:zookeeper,49,387,193,0.13,0.25,0.25
commons-lang:commons-lang,org.codehaus.jackson:jackson-mapper-asl,69,441,154,0.16,0.45,0.45
org.junit.jupiter:junit-jupiter-engine,org.testcontainers:testcontainers,27,334,116,0.08,0.23,0.23
mysql:mysql-connector-java,org.apache.logging.log4j:log4j-slf4j-impl,66,537,242,0.12,0.27,0.27
mysql:mysql-connector-java,org.junit.jupiter:junit-jupiter,21,537,153,0.04,0.14,0.14
org.apache.curator:curator-recipes,org.bouncycastle:bcprov-jdk15on,17,131,196,0.13,0.09,0.13
com.google.code.gson:gson,commons-validator:commons-validator,45,666,107,0.07,0.42,0.42
com.google.code.gson:gson,org.codehaus.jackson:jackson-core-asl,42,666,100,0.06,0.42,0.42
org.easymock:easymock,redis.clients:jedis,11,179,183,0.06,0.06,0.06
com.github.ben-manes.caffeine:caffeine,org.apache.curator:curator-recipes,19,111,131,0.17,0.15,0.17
com.github.ben-manes.caffeine:caffeine,javax.xml.bind:jaxb-api,27,111,304,0.24,0.09,0.24
org.testng:testng,org.yaml:snakeyaml,47,288,268,0.16,0.18,0.18
com.google.protobuf:protobuf-java,org.junit.jupiter:junit-jupiter-params,22,268,169,0.08,0.13,0.13
com.google.protobuf:protobuf-java,org.slf4j:log4j-over-slf4j,27,268,122,0.1,0.22,0.22
com.google.protobuf:protobuf-java,org.glassfish.jaxb:jaxb-runtime,23,268,145,0.09,0.16,0.16
org.quartz-scheduler:quartz,org.yaml:snakeyaml,29,143,268,0.2,0.11,0.2
javax.xml.bind:jaxb-api,org.mongodb:mongo-java-driver,20,304,119,0.07,0.17,0.17
javax.xml.bind:jaxb-api,org.junit.jupiter:junit-jupiter-engine,52,304,334,0.17,0.16,0.17
javax.inject:javax.inject,org.apache.commons:commons-collections4,26,186,233,0.14,0.11,0.14
commons-codec:commons-codec,org.javassist:javassist,105,596,227,0.18,0.46,0.46
io.springfox:springfox-swagger-ui,org.codehaus.jackson:jackson-core-asl,2,130,100,0.02,0.02,0.02
org.apache.httpcomponents:httpclient,org.reflections:reflections,76,680,173,0.11,0.44,0.44
com.h2database:h2,commons-fileupload:commons-fileupload,61,360,240,0.17,0.25,0.25
com.h2database:h2,org.apache.commons:commons-compress,58,360,239,0.16,0.24,0.24
com.h2database:h2,org.postgresql:postgresql,118,360,245,0.33,0.48,0.48
com.h2database:h2,org.hamcrest:hamcrest,23,360,151,0.06,0.15,0.15
org.apache.logging.log4j:log4j-api,org.awaitility:awaitility,37,319,161,0.12,0.23,0.23
commons-validator:commons-validator,org.codehaus.groovy:groovy-all,18,107,117,0.17,0.15,0.17
commons-io:commons-io,org.powermock:powermock-api-mockito2,57,1050,104,0.05,0.55,0.55
io.netty:netty-all,org.slf4j:slf4j-simple,22,226,382,0.1,0.06,0.1
io.netty:netty-all,org.awaitility:awaitility,16,226,161,0.07,0.1,0.1
com.zaxxer:HikariCP,org.springframework:spring-tx,28,147,172,0.19,0.16,0.19
com.zaxxer:HikariCP,org.mockito:mockito-core,61,147,916,0.41,0.07,0.41
com.zaxxer:HikariCP,org.scala-lang:scala-library,12,147,173,0.08,0.07,0.08
com.zaxxer:HikariCP,org.apache.avro:avro,10,147,123,0.07,0.08,0.08
org.junit.jupiter:junit-jupiter-params,org.mockito:mockito-core,96,169,916,0.57,0.1,0.57
org.springframework.boot:spring-boot-starter-web,org.springframework:spring-tx,36,140,172,0.26,0.21,0.26
org.apache.commons:commons-csv,org.springframework.boot:spring-boot-starter-web,11,130,140,0.08,0.08,0.08
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,org.openjdk.jmh:jmh-generator-annprocess,13,124,201,0.1,0.06,0.1
javax.annotation:javax.annotation-api,org.eclipse.jetty:jetty-webapp,36,243,166,0.15,0.22,0.22
javax.mail:mail,org.apache.httpcomponents:httpmime,19,157,143,0.12,0.13,0.13
org.apache.lucene:lucene-core,redis.clients:jedis,15,137,183,0.11,0.08,0.11
org.slf4j:slf4j-jdk14,org.springframework.boot:spring-boot-starter-web,7,107,140,0.07,0.05,0.07
commons-dbcp:commons-dbcp,org.slf4j:jcl-over-slf4j,31,124,311,0.25,0.1,0.25
io.netty:netty-handler,org.hamcrest:hamcrest-core,18,119,216,0.15,0.08,0.15
org.aspectj:aspectjweaver,org.springframework.security:spring-security-web,35,170,101,0.21,0.35,0.35
org.apache.zookeeper:zookeeper,org.yaml:snakeyaml,49,193,268,0.25,0.18,0.25
org.awaitility:awaitility,org.postgresql:postgresql,32,161,245,0.2,0.13,0.2
com.google.code.findbugs:jsr305,org.apache.commons:commons-csv,37,323,130,0.11,0.28,0.28
commons-configuration:commons-configuration,org.apache.curator:curator-framework,20,149,121,0.13,0.17,0.17
commons-configuration:commons-configuration,org.springframework.boot:spring-boot-starter-test,6,149,128,0.04,0.05,0.05
javax.ws.rs:javax.ws.rs-api,org.codehaus.groovy:groovy-all,14,137,117,0.1,0.12,0.12
javax.ws.rs:javax.ws.rs-api,org.apache.httpcomponents:httpmime,14,137,143,0.1,0.1,0.1
org.slf4j:jul-to-slf4j,org.springframework:spring-orm,18,152,126,0.12,0.14,0.14
org.apache.derby:derby,org.apache.lucene:lucene-analyzers-common,11,102,109,0.11,0.1,0.11
javax.servlet:jstl,org.hibernate:hibernate-validator,35,124,148,0.28,0.24,0.28
javax.servlet:jstl,org.slf4j:log4j-over-slf4j,10,124,122,0.08,0.08,0.08
org.apache.httpcomponents:httpmime,org.postgresql:postgresql,27,143,245,0.19,0.11,0.19
commons-httpclient:commons-httpclient,org.antlr:antlr4-runtime,6,140,109,0.04,0.06,0.06
com.beust:jcommander,org.yaml:snakeyaml,24,100,268,0.24,0.09,0.24
com.fasterxml.jackson.core:jackson-databind,org.powermock:powermock-api-mockito2,57,841,104,0.07,0.55,0.55
org.apache.commons:commons-text,org.hibernate:hibernate-entitymanager,12,183,108,0.07,0.11,0.11
org.apache.commons:commons-text,org.springframework:spring-webmvc,32,183,264,0.17,0.12,0.17
com.squareup.okhttp3:okhttp,joda-time:joda-time,41,233,380,0.18,0.11,0.18
com.squareup.okhttp3:okhttp,commons-codec:commons-codec,70,233,596,0.3,0.12,0.3
com.squareup.okhttp3:okhttp,org.apache.avro:avro,24,233,123,0.1,0.2,0.2
ch.qos.logback:logback-core,commons-dbcp:commons-dbcp,21,225,124,0.09,0.17,0.17
com.fasterxml.jackson.core:jackson-annotations,org.mockito:mockito-core,224,447,916,0.5,0.24,0.5
javax.inject:javax.inject,org.codehaus.jackson:jackson-mapper-asl,28,186,154,0.15,0.18,0.18
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,org.eclipse.jetty:jetty-webapp,17,110,166,0.15,0.1,0.15
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,org.slf4j:slf4j-log4j12,27,110,521,0.25,0.05,0.25
org.apache.ant:ant,org.springframework:spring-orm,14,152,126,0.09,0.11,0.11
com.sun.xml.bind:jaxb-impl,org.apache.lucene:lucene-analyzers-common,13,160,109,0.08,0.12,0.12
com.sun.xml.bind:jaxb-impl,org.javassist:javassist,41,160,227,0.26,0.18,0.26
com.sun.xml.bind:jaxb-impl,org.springframework:spring-webmvc,34,160,264,0.21,0.13,0.21
org.apache.logging.log4j:log4j-slf4j-impl,org.easymock:easymock,13,242,179,0.05,0.07,0.07
org.springframework:spring-jdbc,org.testcontainers:testcontainers,16,219,116,0.07,0.14,0.14
com.googlecode.json-simple:json-simple,mysql:mysql-connector-java,44,154,537,0.29,0.08,0.29
junit:junit,org.awaitility:awaitility,93,2280,161,0.04,0.58,0.58
org.reflections:reflections,org.springframework.security:spring-security-web,12,173,101,0.07,0.12,0.12
com.google.code.gson:gson,org.hibernate:hibernate-entitymanager,31,666,108,0.05,0.29,0.29
com.alibaba:druid,org.junit.jupiter:junit-jupiter,5,148,153,0.03,0.03,0.03
com.github.ben-manes.caffeine:caffeine,org.jsoup:jsoup,18,111,232,0.16,0.08,0.16
com.github.ben-manes.caffeine:caffeine,org.apache.kafka:kafka-clients,26,111,162,0.23,0.16,0.23
org.apache.maven:maven-plugin-api,org.springframework.boot:spring-boot-starter-web,12,264,140,0.05,0.09,0.09
io.springfox:springfox-swagger2,org.springframework:spring-aop,18,143,180,0.13,0.1,0.13
org.bouncycastle:bcprov-jdk15on,org.projectlombok:lombok,32,196,434,0.16,0.07,0.16
com.google.protobuf:protobuf-java,xerces:xercesImpl,20,268,111,0.07,0.18,0.18
org.quartz-scheduler:quartz,org.springframework.security:spring-security-web,25,143,101,0.17,0.25,0.25
org.hsqldb:hsqldb,org.mockito:mockito-junit-jupiter,17,197,116,0.09,0.15,0.15
org.json:json,org.springframework:spring-web,53,228,292,0.23,0.18,0.23
org.assertj:assertj-core,org.projectlombok:lombok,70,454,434,0.15,0.16,0.16
org.assertj:assertj-core,org.hamcrest:hamcrest,30,454,151,0.07,0.2,0.2
io.springfox:springfox-swagger-ui,org.yaml:snakeyaml,20,130,268,0.15,0.07,0.15
javax.servlet:servlet-api,org.elasticsearch:elasticsearch,15,266,122,0.06,0.12,0.12
org.freemarker:freemarker,org.slf4j:jul-to-slf4j,15,153,152,0.1,0.1,0.1
org.apache.httpcomponents:httpclient,org.springframework:spring-context,163,680,435,0.24,0.37,0.37
org.apache.httpcomponents:httpclient,org.apache.velocity:velocity,53,680,124,0.08,0.43,0.43
org.apache.httpcomponents:httpclient,org.hamcrest:hamcrest-core,75,680,216,0.11,0.35,0.35
commons-io:commons-io,redis.clients:jedis,73,1050,183,0.07,0.4,0.4
com.zaxxer:HikariCP,org.hamcrest:hamcrest-library,14,147,225,0.1,0.06,0.1
com.zaxxer:HikariCP,org.slf4j:slf4j-log4j12,31,147,521,0.21,0.06,0.21
cglib:cglib,commons-cli:commons-cli,24,134,376,0.18,0.06,0.18
cglib:cglib,org.apache.commons:commons-csv,9,134,130,0.07,0.07,0.07
cglib:cglib,commons-collections:commons-collections,40,134,284,0.3,0.14,0.3
org.elasticsearch:elasticsearch,org.springframework:spring-jdbc,16,122,219,0.13,0.07,0.13
org.hamcrest:hamcrest-library,redis.clients:jedis,16,225,183,0.07,0.09,0.09
commons-cli:commons-cli,javax.servlet:jstl,19,376,124,0.05,0.15,0.15
commons-cli:commons-cli,javax.xml.bind:jaxb-api,79,376,304,0.21,0.26,0.26
org.apache.commons:commons-csv,org.jsoup:jsoup,24,130,232,0.18,0.1,0.18
org.apache.commons:commons-csv,org.codehaus.plexus:plexus-utils,12,130,144,0.09,0.08,0.09
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,org.assertj:assertj-core,30,124,454,0.24,0.07,0.24
commons-net:commons-net,org.openjdk.jmh:jmh-core,12,128,215,0.09,0.06,0.09
org.codehaus.jackson:jackson-mapper-asl,org.springframework.security:spring-security-web,24,154,101,0.16,0.24,0.24
org.codehaus.jackson:jackson-mapper-asl,org.powermock:powermock-module-junit4,23,154,203,0.15,0.11,0.15
org.apache.lucene:lucene-core,org.hibernate:hibernate-core,29,137,189,0.21,0.15,0.21
org.apache.commons:commons-math3,org.apache.logging.log4j:log4j-api,40,180,319,0.22,0.13,0.22
com.thoughtworks.xstream:xstream,commons-beanutils:commons-beanutils,35,128,282,0.27,0.12,0.27
org.apache.commons:commons-lang3,org.apache.hadoop:hadoop-common,80,987,140,0.08,0.57,0.57
org.apache.commons:commons-lang3,org.glassfish.jaxb:jaxb-runtime,75,987,145,0.08,0.52,0.52
org.eclipse.jetty:jetty-webapp,org.springframework.security:spring-security-web,23,166,101,0.14,0.23,0.23
org.awaitility:awaitility,org.springframework:spring-expression,14,161,115,0.09,0.12,0.12
org.codehaus.jackson:jackson-core-asl,org.slf4j:slf4j-simple,15,100,382,0.15,0.04,0.15
org.hamcrest:hamcrest-all,org.jsoup:jsoup,19,237,232,0.08,0.08,0.08
org.hibernate:hibernate-entitymanager,org.springframework:spring-beans,39,108,256,0.36,0.15,0.36
org.hibernate:hibernate-entitymanager,org.scala-lang:scala-library,8,108,173,0.07,0.05,0.07
commons-httpclient:commons-httpclient,org.apache.zookeeper:zookeeper,34,140,193,0.24,0.18,0.24
com.beust:jcommander,javax.mail:mail,5,100,157,0.05,0.03,0.05
com.jcraft:jsch,org.openjdk.jmh:jmh-core,5,103,215,0.05,0.02,0.05
com.fasterxml.jackson.core:jackson-databind,org.junit.jupiter:junit-jupiter-engine,118,841,334,0.14,0.35,0.35
com.squareup.okhttp3:okhttp,org.mybatis:mybatis,20,233,125,0.09,0.16,0.16
com.fasterxml.jackson.core:jackson-annotations,org.apache.lucene:lucene-analyzers-common,40,447,109,0.09,0.37,0.37
com.fasterxml.jackson.core:jackson-annotations,org.slf4j:slf4j-api,320,447,1414,0.72,0.23,0.72
org.apache.maven.plugin-tools:maven-plugin-annotations,org.slf4j:slf4j-api,114,229,1414,0.5,0.08,0.5
javax.validation:validation-api,org.apache.httpcomponents:httpclient,73,197,680,0.37,0.11,0.37
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,com.sun.xml.bind:jaxb-impl,19,110,160,0.17,0.12,0.17
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,org.apache.logging.log4j:log4j-core,27,110,387,0.25,0.07,0.25
com.fasterxml.jackson.datatype:jackson-datatype-jsr310,org.easymock:easymock,7,110,179,0.06,0.04,0.06
org.apache.ant:ant,org.powermock:powermock-api-mockito2,6,152,104,0.04,0.06,0.06
org.hamcrest:hamcrest-core,org.mockito:mockito-core,133,216,916,0.62,0.15,0.62
org.scala-lang:scala-library,org.springframework.boot:spring-boot-starter-test,10,173,128,0.06,0.08,0.08
com.fasterxml.jackson.core:jackson-core,org.openjdk.jmh:jmh-generator-annprocess,50,532,201,0.09,0.25,0.25
org.eclipse.jetty:jetty-servlet,org.eclipse.jetty:jetty-webapp,95,202,166,0.47,0.57,0.57
org.apache.logging.log4j:log4j-slf4j-impl,org.openjdk.jmh:jmh-generator-annprocess,30,242,201,0.12,0.15,0.15
com.google.inject:guice,javax.mail:mail,27,192,157,0.14,0.17,0.17
org.apache.poi:poi,org.awaitility:awaitility,8,139,161,0.06,0.05,0.06
org.apache.poi:poi,org.apache.velocity:velocity,18,139,124,0.13,0.15,0.15
joda-time:joda-time,org.apache.zookeeper:zookeeper,56,380,193,0.15,0.29,0.29
com.googlecode.json-simple:json-simple,org.mybatis.spring.boot:mybatis-spring-boot-starter,2,154,145,0.01,0.01,0.01
com.jayway.jsonpath:json-path,org.slf4j:jcl-over-slf4j,25,129,311,0.19,0.08,0.19
com.jayway.jsonpath:json-path,org.apache.httpcomponents:httpmime,16,129,143,0.12,0.11,0.12
org.apache.maven:maven-artifact,org.codehaus.groovy:groovy-all,16,125,117,0.13,0.14,0.14
org.powermock:powermock-api-mockito2,org.reflections:reflections,20,104,173,0.19,0.12,0.19
org.apache.curator:curator-recipes,org.hsqldb:hsqldb,7,131,197,0.05,0.04,0.05
org.apache.thrift:libthrift,org.junit.jupiter:junit-jupiter-params,7,104,169,0.07,0.04,0.07
org.apache.httpcomponents:httpcore,org.springframework:spring-context,78,267,435,0.29,0.18,0.29
org.easymock:easymock,org.jsoup:jsoup,16,179,232,0.09,0.07,0.09
net.java.dev.jna:jna,org.easymock:easymock,17,160,179,0.11,0.09,0.11
io.dropwizard.metrics:metrics-core,org.slf4j:slf4j-log4j12,52,156,521,0.33,0.1,0.33
io.dropwizard.metrics:metrics-core,org.reflections:reflections,29,156,173,0.19,0.17,0.19
com.github.ben-manes.caffeine:caffeine,org.codehaus.groovy:groovy-all,9,111,117,0.08,0.08,0.08
org.apache.maven:maven-plugin-api,org.apache.poi:poi,14,264,139,0.05,0.1,0.1
org.apache.maven:maven-plugin-api,xerces:xercesImpl,21,264,111,0.08,0.19,0.19
org.bouncycastle:bcprov-jdk15on,org.mybatis:mybatis,2,196,125,0.01,0.02,0.02
org.bouncycastle:bcprov-jdk15on,org.testcontainers:testcontainers,14,196,116,0.07,0.12,0.12
commons-logging:commons-logging,org.apache.avro:avro,51,369,123,0.14,0.41,0.41
javax.activation:activation,org.slf4j:slf4j-simple,24,107,382,0.22,0.06,0.22
org.eclipse.jetty:jetty-server,org.slf4j:jul-to-slf4j,44,267,152,0.16,0.29,0.29
org.slf4j:jcl-over-slf4j,org.slf4j:slf4j-simple,70,311,382,0.23,0.18,0.23
org.assertj:assertj-core,org.mockito:mockito-all,54,454,368,0.12,0.15,0.15
org.assertj:assertj-core,org.testng:testng,52,454,288,0.11,0.18,0.18
org.freemarker:freemarker,org.springframework:spring-context,42,153,435,0.27,0.1,0.27
org.freemarker:freemarker,org.springframework.security:spring-security-web,10,153,101,0.07,0.1,0.1
org.freemarker:freemarker,org.reflections:reflections,17,153,173,0.11,0.1,0.11
org.apache.commons:commons-compress,org.apache.kafka:kafka-clients,36,239,162,0.15,0.22,0.22
commons-validator:commons-validator,org.apache.poi:poi,26,107,139,0.24,0.19,0.24
com.zaxxer:HikariCP,commons-collections:commons-collections,30,147,284,0.2,0.11,0.2
commons-cli:commons-cli,org.antlr:antlr4-runtime,24,376,109,0.06,0.22,0.22
org.apache.commons:commons-csv,org.slf4j:jcl-over-slf4j,21,130,311,0.16,0.07,0.16
org.apache.commons:commons-csv,org.testcontainers:testcontainers,11,130,116,0.08,0.09,0.09
com.fasterxml.jackson.jaxrs:jackson-jaxrs-json-provider,org.apache.logging.log4j:log4j-core,30,124,387,0.24,0.08,0.24
commons-net:commons-net,org.junit.jupiter:junit-jupiter-params,13,128,169,0.1,0.08,0.1
commons-collections:commons-collections,org.hibernate:hibernate-validator,42,284,148,0.15,0.28,0.28
javax.mail:mail,org.powermock:powermock-api-mockito2,10,157,104,0.06,0.1,0.1
